case,time,emitter_population,cavity_population,trace
strong_coupling,9.69,0.28392630426382487,0.019475571368389892,1.0
strong_coupling,9.700000000000001,0.2822721217100549,0.020947786837628744,1.0
strong_coupling,9.71,0.28056843772512224,0.02246735132275661,0.9999999999999999
strong_coupling,9.72,0.2788159839845407,0.024033463816758992,1.0
strong_coupling,9.73,0.27701550996536295,0.025645306759709646,1.0
strong_coupling,9.74,0.27516778260002445,0.027302046408738182,1.0
strong_coupling,9.75,0.27327358591920725,0.02900283321805653,1.0
strong_coupling,9.76,0.27133372069765377,0.0307468022161004,1.0
strong_coupling,9.77,0.2693490040908996,0.03253307339092866,1.0
strong_coupling,9.78,0.2673202692721889,0.034360752075315026,1.0
strong_coupling,9.790000000000001,0.26524836505749105,0.036228929342621785,1.0
strong_coupling,9.8,0.2631341555212356,0.03813668241102843,1.0000000000000002
strong_coupling,9.81,0.26097851961427726,0.04008307504550651,1.0
strong_coupling,9.82,0.2587823507741646,0.04206715796665117,1.0
strong_coupling,9.83,0.2565465565338884,0.04408796926097377,1.0
strong_coupling,9.84,0.25427205812220915,0.04614453479835826,1.0
strong_coupling,9.85,0.2519597900572651,0.04823586865523394,1.0
strong_coupling,9.86,0.24961069973996625,0.0503609735380232,1.0000000000000002
strong_coupling,9.870000000000001,0.24722574704166125,0.05251884121141022,1.0
strong_coupling,9.88,0.24480590389414952,0.054708452923850494,1.0
strong_coupling,9.89,0.2423521538689335,0.056928779842897445,1.0
strong_coupling,9.9,0.23986549174908162,0.05917878349709441,1.0000000000000002
strong_coupling,9.91,0.23734692310537017,0.06145741621320798,1.0
strong_coupling,9.92,0.2347974638664494,0.06376362155864436,1.0000000000000002
strong_coupling,9.93,0.23221813988686785,0.06609633478629759,1.0
strong_coupling,9.94,0.2296099865110832,0.06845448328165947,1.0
strong_coupling,9.950000000000001,0.22697404813416103,0.07083698701201746,1.0
strong_coupling,9.96,0.22431137776104285,0.0732427589775548,1.0
strong_coupling,9.97,0.22162303656297888,0.07567070566419096,1.0000000000000002
strong_coupling,9.98,0.2189100934315456,0.07811972749811216,1.0000000000000002
strong_coupling,9.99,0.21617362453075292,0.0805887193015418,1.0000000000000002
strong_coupling,10.0,0.21341471284731534,0.08307657074965433,1.0000000000000002
strong_coupling,10.01,0.21063444773898543,0.08558216682868192,1.0000000000000002
strong_coupling,10.02,0.20783392448142282,0.0881043882947858,1.0000000000000002
strong_coupling,10.03,0.20501424382389605,0.09064211212454207,1.0
strong_coupling,10.040000000000001,0.2021765115325986,0.09319421197581455,1.0000000000000002
strong_coupling,10.05,0.1993218379282028,0.09575955865312293,1.0000000000000002
strong_coupling,10.06,0.1964513374344113,0.09833702056263458,1.0000000000000002
strong_coupling,10.07,0.19356612812208815,0.10092546417041462,1.0000000000000002
strong_coupling,10.08,0.1906673312532159,0.10352375446014805,1.0000000000000002
strong_coupling,10.09,0.18775607082487622,0.10613075539013411,1.0000000000000002
strong_coupling,10.1,0.18483347311344903,0.10874533034935688,1.0000000000000002
strong_coupling,10.11,0.18190066621117373,0.11136634262074371,1.0
strong_coupling,10.120000000000001,0.17895877953471223,0.11399265587262739,1.0000000000000002
strong_coupling,10.13,0.17600894342191992,0.11662313455849117,1.0
strong_coupling,10.14,0.17305228866158393,0.11925664438520936,1.0000000000000002
strong_coupling,10.15,0.17008994603432717,0.12189205276908809,1.0
strong_coupling,10.16,0.1671230458584915,0.1245282292860935,1.0
strong_coupling,10.17,0.16415271753716906,0.12716404612022614,1.0
strong_coupling,10.18,0.16118008912241724,0.1297983784957274,1.0
strong_coupling,10.19,0.15820628688516072,0.1324301051033463,1.0
strong_coupling,10.200000000000001,0.15523243482329027,0.13505810858080533,1.0
strong_coupling,10.21,0.15225965423650947,0.13768127593285873,1.0
strong_coupling,10.22,0.14928906328552533,0.14029849896437532,1.0000000000000002
strong_coupling,10.23,0.1463217765529769,0.14290867471092222,1.0000000000000002
strong_coupling,10.24,0.14335890460706452,0.145510705865976,1.0000000000000002
strong_coupling,10.25,0.1404015535456371,0.1481035012296179,1.0000000000000002
strong_coupling,10.26,0.13745082457121288,0.15068597612238332,1.0000000000000002
strong_coupling,10.27,0.13450781358341368,0.153257052779382,1.0000000000000002
strong_coupling,10.28,0.1315736107408498,0.15581566077825987,1.0000000000000002
strong_coupling,10.290000000000001,0.12864930003883915,0.1583607374492421,1.0000000000000002
strong_coupling,10.3,0.1257359588907252,0.16089122828093871,1.0000000000000002
strong_coupling,10.31,0.12283465771288977,0.16340608732199458,1.0
strong_coupling,10.32,0.11994645951220455,0.16590427758321052,1.0
strong_coupling,10.33,0.11707241948059108,0.1683847714249578,1.0000000000000002
strong_coupling,10.34,0.1142135845925928,0.1708465509439692,1.0000000000000002
strong_coupling,10.35,0.11137099320680484,0.17328860835710674,1.0000000000000002
strong_coupling,10.36,0.10854567467235171,0.17570994637854662,1.0
strong_coupling,10.370000000000001,0.1057386489401851,0.1781095785915579,1.0000000000000002
strong_coupling,10.38,0.10295092617453554,0.18048652982015495,1.0
strong_coupling,10.39,0.10018350634679296,0.18283983652060465,1.0
strong_coupling,10.4,0.09743737889760395,0.1851685470962297,1.0000000000000002
strong_coupling,10.41,0.09471352235891346,0.18747172225743425,1.0000000000000002
strong_coupling,10.42,0.09201290398637588,0.18974843537020686,1.0000000000000002
strong_coupling,10.43,0.08933647940078664,0.19199777279464503,1.0
strong_coupling,10.44,0.08668519223529646,0.1942188342171732,1.0000000000000002
strong_coupling,10.450000000000001,0.08405997378091837,0.19641073298520212,1.0
strong_coupling,10.46,0.08146174263288791,0.19857259644128333,1.0
strong_coupling,10.47,0.0788914043807709,0.2007035662068739,1.0
strong_coupling,10.48,0.07634985126900859,0.20280279850105612,1.0000000000000002
strong_coupling,10.49,0.07383796187320489,0.20486946444152196,1.0
strong_coupling,10.5,0.07135660078362879,0.20690275033777886,1.0
strong_coupling,10.51,0.06890661829544184,0.2089018579771786,1.0
strong_coupling,10.52,0.0664888500809849,0.21086600493043828,1.0
strong_coupling,10.53,0.06410411689465635,0.21279442482207775,1.0
strong_coupling,10.540000000000001,0.06175322431216549,0.2146863675638667,1.0
strong_coupling,10.55,0.059436962430343535,0.21654109963105264,1.0000000000000002
